Unnamed: 0,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,additional_retirement_savings,new_accumulated_capital
0,57,616,2,1,3,-153263.20075894924,0.23,42658.02,0.0,-153263.20075894924
1,45,591,1,1,1,161474.30730573952,0.24,248327.61,0.0,161474.30730573952
2,59,613,1,1,1,14209.331170472313,0.09,24371.94,8768.218739360831,22977.549909833142
3,62,656,1,1,1,-77270.8971615558,0.17,48788.04,3543.04094273671,-73727.85621881908
4,45,567,2,1,5,282353.1824904715,0.22,47808.66,0.0,282353.1824904715
5,40,300,1,1,1,186133.53589746484,0.12,31875.4,89691.52063739517,275825.05653486
6,35,318,1,1,1,101335.18715003086,0.03,31627.77,30183.71630328604,131518.9034533169
7,57,545,1,1,1,-129635.97651341364,0.08,90134.48,0.0,-129635.97651341364
8,44,316,1,1,1,-164230.28973520375,0.29,153383.25,0.0,-164230.28973520375
9,54,538,2,1,5,-100385.68158060308,0.23,30736.38,10869.302858032346,-89516.37872257073
10,40,316,1,1,1,-256997.4062920032,0.12,46493.72,26164.957596700107,-230832.4486953031
11,61,621,2,1,3,16199.820562777051,0.25,125928.79,0.0,16199.820562777051
12,46,591,1,1,1,43015.849398840575,0.24,81370.26,0.0,43015.849398840575
13,58,613,1,1,1,-177223.18834805524,0.12,61418.26,6888.618079074599,-170334.57026898063
14,40,644,3,1,5,16123.378077014168,0.25,45892.81,0.0,16123.378077014168
15,45,644,2,1,5,144259.26616964306,0.18,29561.58,17778.189073867896,162037.45524351095
16,48,352,1,1,1,-122897.38481720704,0.17,109107.45,0.0,-122897.38481720704
17,62,619,1,1,1,3663.075987899144,0.03,187001.88,0.0,3663.075987899144
18,44,300,1,1,1,489740.55883946974,0.35,28075.64,176291.44034170092,666031.9991811707
19,52,587,1,1,1,68323.38367680064,0.35,39124.78,94009.99003413193,162333.37371093256
20,57,561,1,1,1,-39909.54341443597,0.22,63026.22,14916.57673026653,-24992.966684169438
21,56,561,1,1,1,15876.285102139278,0.23,123495.81,0.0,15876.285102139278
22,47,308,1,1,1,481647.3761496623,0.12,62843.4,21702.545131529685,503349.921281192
23,42,617,2,1,3,273340.95536635723,0.24,20743.65,40974.750526535696,314315.7058928929
24,42,286,1,1,1,32885.36982068384,0.04,58682.2,9659.53639366052,42544.90621434436
25,41,346,1,1,1,-92628.20629301402,0.19,173856.79,0.0,-92628.20629301402
26,36,308,1,1,1,-17091.54788181004,0.01,68757.75,4124.3331848454445,-12967.214696964595
27,49,308,1,1,1,51771.2351944449,0.17,39639.95,82646.56523495888,134417.80042940378
28,37,310,1,1,1,99042.6361841256,0.13,79011.7,0.0,99042.6361841256
29,41,288,1,1,1,-48963.55036090561,0.19,91329.38,0.0,-48963.55036090561
30,37,321,1,1,1,200707.693351556,0.01,47179.61,2665.536753517461,203373.23010507345
31,41,339,1,1,1,-170263.2794560638,0.16,18738.56,65903.64276998822,-104359.6366860756
32,57,578,1,1,1,103153.5479678066,0.07,7661.9,2884.8932553474774,106038.44122315408
33,52,331,1,1,1,47346.89854924133,0.34,144416.22,0.0,47346.89854924133
34,62,656,1,1,1,-250673.97571426656,0.22,41928.62,7880.92371267723,-242793.05200158933
35,53,621,3,1,1,-192482.046027303,0.1,27982.2,23857.23508748167,-168624.81093982133
36,46,660,3,1,3,228424.97414615643,0.02,34971.71,2171.3839840163905,230596.35813017283
37,36,318,1,1,1,-117105.97405042702,0.04,187300.95,0.0,-117105.97405042702
38,36,562,1,1,1,248088.42173158744,0.14,31657.03,132923.04875283653,381011.470484424
39,53,587,3,1,5,-29999.525192713496,0.12,211309.96,0.0,-29999.525192713496
40,44,647,1,1,1,-145485.470259673,0.16,51887.25,29788.19230701038,-115697.27795266261
41,52,551,1,1,1,38423.50199144202,0.32,68751.27,41365.159728217055,79788.66171965908
42,61,572,2,1,3,312897.41328443354,0.15,133564.14,0.0,312897.41328443354
43,58,561,1,1,1,115164.68494862856,0.3,42458.79,23810.702909007177,138975.38785763574
44,61,591,1,1,1,-288024.5286338032,0.03,53212.75,871.5912679829264,-287152.9373658203
45,58,578,3,1,3,-76152.12977154632,0.19,21363.84,7587.8068259251795,-68564.32294562114
46,59,552,1,1,1,70608.95330695083,0.3,68136.23,16342.109511057928,86951.06281800877
47,47,352,1,1,1,-16805.635923251513,0.31,13052.38,58222.541048729436,41416.90512547792
48,43,343,2,1,4,-74450.23492616149,0.26,39049.45,0.0,-74450.23492616149
49,58,299,2,1,2,54474.15652553393,0.21,10855.47,10653.474803176683,65127.63132871062
50,63,277,2,1,2,13275.353696893955,0.16,30094.21,1509.0132497689601,14784.366946662914
51,58,614,1,1,1,26081.51110228662,0.32,74806.7,0.0,26081.51110228662
52,57,561,3,1,3,-156766.05452016505,0.15,129884.1,0.0,-156766.05452016505
53,57,561,2,1,5,53907.622742241954,0.33,78668.12,0.0,53907.622742241954
54,36,586,2,1,5,-300932.71179366106,0.08,56216.08,0.0,-300932.71179366106
55,41,345,3,1,3,-155386.19432056436,0.12,88141.94,0.0,-155386.19432056436
56,45,345,2,1,3,-318099.0412904626,0.06,7139.79,7156.391086432187,-310942.6502040304
57,56,561,1,1,1,2461.4020875907363,0.15,174692.59,0.0,2461.4020875907363
58,54,323,3,4,2,-231146.0318660896,0.34,24218.73,12660.51638656532,-218485.51547952427
59,54,309,2,4,3,-12806.915851703556,0.33,104263.74,0.0,-12806.915851703556
60,49,336,1,1,1,231441.34599615284,0.03,61816.81,4548.839672765116,235990.18566891795
61,42,319,1,1,1,130759.59859973984,0.15,157907.15,0.0,130759.59859973984
62,44,339,3,1,3,-304540.0210990801,0.12,94991.87,0.0,-304540.0210990801
63,59,339,2,1,3,90914.20617094856,0.22,376312.67,0.0,90914.20617094856
64,61,591,3,1,3,11859.406414273508,0.06,55895.78,0.0,11859.406414273508
65,52,591,1,1,1,-36269.28292974959,0.3,49733.75,28052.816051160054,-8216.466878589537
66,46,308,3,4,5,90987.8405475623,0.17,61559.74,0.0,90987.8405475623
67,39,587,3,1,1,77235.72721445581,0.02,59571.22,0.0,77235.72721445581
68,53,621,1,1,1,-103836.88056915942,0.01,37751.87,3218.67200428146,-100618.20856487796
69,38,318,2,1,5,-234147.52690218712,0.31,75290.88,0.0,-234147.52690218712
70,39,318,3,1,5,48841.01844383768,0.12,88026.35,0.0,48841.01844383768
71,56,614,1,1,1,17052.563325526007,0.1,79522.49,0.0,17052.563325526007
72,36,360,2,1,5,-41291.95872972282,0.25,73312.87,0.0,-41291.95872972282
73,35,332,1,1,1,154144.34565725044,0.12,159441.68,0.0,154144.34565725044
74,41,562,1,1,1,-60060.31403003638,0.15,21611.6,71257.63496273913,11197.32093270275
75,53,551,3,1,3,-22383.21130112624,0.18,122493.94,0.0,-22383.21130112624
76,51,551,3,1,3,68897.18315702399,0.24,20579.23,20377.671343942595,89274.85450096658
77,46,551,2,1,5,-36004.11969600011,0.21,130420.85,0.0,-36004.11969600011
78,61,521,3,1,3,-281223.5202413987,0.09,161155.25,0.0,-281223.5202413987
79,58,578,1,1,1,295660.46547998633,0.24,63965.45,14348.617342990252,310009.0828229766
80,63,638,2,1,3,141930.75546871268,0.23,51753.44,0.0,141930.75546871268
81,58,578,1,1,1,-218667.17030405908,0.29,160078.61,0.0,-218667.17030405908
82,58,613,1,1,1,-142302.07128242185,0.17,56648.2,9000.950815685177,-133301.12046673667
83,60,656,3,1,3,23880.757771127057,0.31,69421.76,0.0,23880.757771127057
84,61,525,2,1,5,-65315.48036080689,0.2,28219.27,3081.425575744229,-62234.05478506266
85,61,545,1,1,1,-117564.03148357036,0.26,39916.74,27298.948340480005,-90265.08314309036
86,60,299,1,1,1,566626.7210408133,0.09,52771.61,3182.1377782756535,569808.8588190889
87,44,304,1,1,1,58241.12243267061,0.2,104522.24,0.0,58241.12243267061
88,40,286,3,1,5,-149009.61201093585,0.07,57160.46,0.0,-149009.61201093585
89,40,336,1,1,1,68205.02537586076,0.2,95143.59,0.0,68205.02537586076
90,59,308,1,1,1,-5160.777793190488,0.05,144027.12,0.0,-5160.777793190488
91,48,302,1,1,1,-15102.0281018622,0.2,87203.32,0.0,-15102.0281018622
92,42,337,1,1,1,12453.799121462103,0.29,14758.88,88066.61594572935,100520.41506719145
93,54,621,1,1,1,-98606.17089825076,0.09,10895.86,7538.677507045982,-91067.49339120477
94,63,354,3,1,3,-141460.4576426003,0.32,21636.64,4339.70208096256,-137120.75556163772
95,46,308,1,1,1,-112742.5766807204,0.31,64365.24,61944.51442558148,-50798.062255138924
96,35,344,1,1,1,85714.04587024963,0.33,58251.76,122302.65098094595,208016.6968511956
97,61,350,3,1,3,41240.72846860808,0.12,198938.74,0.0,41240.72846860808
98,47,644,1,1,1,123068.31747253932,0.09,52899.96,13701.483799684394,136769.8012722237
99,59,613,3,1,3,-75397.65738214241,0.01,25503.55,203.89632506364651,-75193.76105707877
100,52,569,2,1,3,1848.4674081593148,0.04,54640.49,0.0,1848.4674081593148
101,48,593,3,1,5,19046.270499889462,0.25,160142.23,0.0,19046.270499889462
102,61,619,3,1,3,-52402.52717317276,0.16,113877.45,0.0,-52402.52717317276
103,39,318,3,1,3,95933.85247965416,0.05,57786.34,0.0,95933.85247965416
104,37,318,2,1,3,7424.720190636249,0.25,63316.68,0.0,7424.720190636249
105,59,593,2,1,3,137729.87877768106,0.28,37000.06,0.0,137729.87877768106
106,45,593,3,1,3,40014.55173178135,0.01,215954.02,0.0,40014.55173178135
107,58,587,1,1,1,371793.1304393215,0.23,62727.65,13484.666379483979,385277.7968188055
108,47,578,3,1,3,-99001.55058647488,0.25,28268.3,20338.056467266935,-78663.49411920796
109,63,615,3,1,3,-195721.7965811589,0.01,111729.39,0.0,-195721.7965811589
110,49,305,1,1,1,91594.17743422095,0.04,75531.16,0.0,91594.17743422095
111,49,302,1,1,1,162338.2463931727,0.13,112679.4,0.0,162338.2463931727
112,49,294,1,1,1,192751.98608077937,0.07,32318.91,27745.818112141253,220497.80419292062
113,62,621,2,1,3,33630.11407302681,0.1,125234.53,0.0,33630.11407302681
114,59,578,1,1,1,24171.20366299901,0.14,110307.02,0.0,24171.20366299901
115,52,625,2,1,5,256293.80563946,0.01,57453.19,0.0,256293.80563946
116,47,660,1,1,1,-126034.98436208656,0.18,29245.92,75749.111925012,-50285.87243707456
117,53,569,2,1,3,45757.19302455328,0.18,77382.99,0.0,45757.19302455328
118,51,594,1,1,1,-33427.59410116461,0.09,80367.6,0.0,-33427.59410116461
119,61,621,1,1,1,100153.81049732308,0.02,88950.05,0.0,100153.81049732308
120,60,656,1,1,1,-88379.62579785292,0.07,43351.34,4066.3680813313886,-84313.25771652153
121,48,295,2,1,3,-224387.47380531963,0.33,102636.11,0.0,-224387.47380531963
122,48,316,3,1,4,-23648.75344788534,0.35,44450.44,0.0,-23648.75344788534
123,52,551,3,1,3,13119.787106220894,0.19,90855.46,0.0,13119.787106220894
124,61,572,2,1,3,-100762.9845913296,0.29,84754.5,0.0,-100762.9845913296
125,61,234,2,3,3,37497.14759878947,0.32,29860.2,5216.973166312967,42714.12076510243
126,46,320,3,1,5,-128427.9618024882,0.05,70151.9,0.0,-128427.9618024882
127,42,320,3,1,3,-141939.99621777798,0.06,53562.48,0.0,-141939.99621777798
128,39,345,2,1,5,111441.6532049696,0.1,60305.96,0.0,111441.6532049696
129,52,281,1,1,1,-185846.0331145129,0.28,58115.38,30595.18724992683,-155250.84586458607
130,47,336,1,1,1,78009.97737503791,0.26,99067.06,0.0,78009.97737503791
131,43,286,1,1,1,-125129.87124045928,0.0,51966.2,0.0,-125129.87124045928
132,45,660,3,1,5,141408.59409807788,0.24,53886.98,0.0,141408.59409807788
133,51,294,1,1,1,-103227.75913656502,0.26,23442.32,62867.78184539623,-40359.97729116878
134,48,647,2,1,3,268609.7489375139,0.23,73566.19,0.0,268609.7489375139
135,43,647,3,1,3,-101251.57768616812,0.12,85494.99,0.0,-101251.57768616812
136,62,551,1,1,1,81473.81949865304,0.01,109908.68,0.0,81473.81949865304
137,55,616,2,1,3,-27932.26234443296,0.2,30310.7,8347.179396942633,-19585.082947490326
138,60,591,1,1,1,14841.9098354652,0.22,94887.7,0.0,14841.9098354652
139,56,578,3,1,3,-80557.92261113154,0.05,26025.03,1591.585261385525,-78966.33734974601
140,41,313,1,1,1,41117.70627242291,0.33,114119.75,0.0,41117.70627242291
141,44,343,1,1,1,-110688.9967095426,0.34,157461.39,0.0,-110688.9967095426
142,56,614,3,1,3,71227.91380542977,0.07,22644.36,1938.7720775465423,73166.68588297631
143,42,301,1,1,1,-121148.04553647494,0.25,123353.9,0.0,-121148.04553647494
144,36,309,1,1,1,-283621.484612912,0.35,48445.99,101708.66772166293,-181912.81689124907
145,38,309,1,1,1,-89224.19803506618,0.04,88139.92,0.0,-89224.19803506618
146,56,309,2,1,3,34649.310858522986,0.32,69145.72,0.0,34649.310858522986
147,39,309,3,1,5,-143656.70286273304,0.27,32475.48,43807.17865341411,-99849.52420931894
148,59,616,2,1,2,8308.1430673426,0.14,164074.42,0.0,8308.1430673426
149,63,579,3,1,3,-19851.525100317973,0.02,36641.65,0.0,-19851.525100317973
150,43,579,2,1,3,110978.578445517,0.1,11150.01,21441.288325869602,132419.86677138662
151,56,666,1,1,1,-92243.11306176538,0.21,50002.81,12843.469874202452,-79399.64318756294
152,44,666,3,1,5,169697.1079381156,0.02,60947.42,0.0,169697.1079381156
153,41,328,1,1,1,32657.40996676645,0.13,38868.96,111070.69697075342,143728.10693751986
154,38,328,1,1,1,-3020.0150899846744,0.13,63013.24,43546.09359443109,40526.078504446414
155,42,591,1,1,1,-64389.0430594834,0.2,19861.26,81732.86098423116,17343.817924747753
156,48,660,1,1,1,-274492.0067383053,0.06,43646.5,13936.079453115794,-260555.92728518954
157,40,300,3,1,2,74757.44698667098,0.13,53896.68,0.0,74757.44698667098
158,41,300,2,1,5,-157394.15669368842,0.26,74255.69,0.0,-157394.15669368842
159,63,663,3,1,3,-105870.1895272634,0.08,42006.6,0.0,-105870.1895272634
160,60,614,1,1,1,62668.138839211264,0.02,101508.46,0.0,62668.138839211264
161,56,550,2,1,3,634590.6708282295,0.23,140292.64,0.0,634590.6708282295
162,52,587,3,1,3,-301269.1922862795,0.01,48102.79,0.0,-301269.1922862795
163,62,278,3,1,3,-34827.19201069689,0.1,77767.88,0.0,-34827.19201069689
164,40,345,1,1,1,70789.52191176618,0.07,111472.45,0.0,70789.52191176618
165,57,359,2,4,3,52285.80463702983,0.01,95411.43,0.0,52285.80463702983
166,50,317,3,1,3,7417.363575260744,0.16,84297.0,0.0,7417.363575260744
167,47,315,1,1,1,-123906.24690713736,0.29,65756.83,54879.306541681945,-69026.94036545542
168,63,656,1,1,1,62001.81409711784,0.31,120827.57,0.0,62001.81409711784
169,53,621,3,1,5,-91037.871744777,0.01,20949.18,714.4391965606269,-90323.43254821637
170,60,656,3,1,3,234119.84024046463,0.18,106481.19,0.0,234119.84024046463
171,57,551,1,1,1,88725.62806231248,0.02,140781.32,0.0,88725.62806231248
172,61,521,1,1,1,-12888.94858958734,0.31,29014.57,24554.084674088466,11665.136084501126
